Date,StartTime,Duration,Activity,ActivityType,LogType,Steps,Distance,ElevationGain,Calories,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,AverageHeartRate,OutOfRangeHeartRateMinutes,FatBurnHeartRateMinutes,CardioHeartRateMinutes,PeakHeartRateMinutes
4/13/2017,18:47:24,3739000,Spinning,90002,tracker,624,0.36241,15.85,747,0,0,0,62,153,0,2,28,32
4/13/2017,19:55:49,664000,Run,90009,tracker,1773,1.732679,17.983,143,0,0,0,11,150,0,1,8,3
4/13/2017,21:28:16,1075000,Walk,90013,auto_detected,1666,0,12.192,131,0,2,5,11,98,7,11,0,0
4/14/2017,17:26:05,918000,Walk,90013,auto_detected,1459,0,12.192,108,0,1,3,11,94,6,9,0,0
4/14/2017,18:39:28,1638000,Walk,90013,auto_detected,1831,0,27.432,171,4,3,8,12,96,12,14,0,0
4/15/2017,7:27:28,1024000,Walk,90013,auto_detected,1698,0,15.24,129,1,2,2,12,89,10,6,0,0
4/15/2017,9:45:49,3234000,Run,90009,tracker,8668,9.146929,101.803,701,0,0,0,52,155,0,1,23,29
4/16/2017,10:01:52,2916000,Workout,3000,tracker,3573,0,55.778,562,0,0,1,48,143,0,5,37,7
4/16/2017,10:52:42,1434000,Walk,90013,auto_detected,2033,0,24.384,224,0,0,1,23,123,0,18,5,0
4/17/2017,7:47:08,1023000,Walk,90013,auto_detected,1505,0,18.288,133,0,4,0,13,85,10,2,2,0
4/17/2017,10:07:05,1484000,Walk,90013,auto_detected,2264,0,18.288,172,1,12,1,10,94,10,13,0,0
4/17/2017,22:15:52,2710000,Run,90009,tracker,5469,6.247969,40.538,515,0,0,0,40,147,1,1,23,14
4/18/2017,6:41:47,2256000,Run,90009,tracker,6246,6.442819,42.672,494,0,0,0,38,149,0,1,32,4
4/18/2017,11:41:23,2816000,Walk,90013,auto_detected,3774,0,6.096,323,0,8,12,26,98,16,30,0,0
4/18/2017,18:13:54,1690000,Walk,90013,auto_detected,2703,0,0,201,0,3,3,23,91,14,15,0,0
4/18/2017,20:20:11,1485000,Walk,90013,auto_detected,2438,0,0,199,0,2,2,20,109,3,12,1,2
4/19/2017,7:22:42,3322000,Run,90009,tracker,9035,9.771019,165.811,732,0,0,0,54,155,0,1,22,32
4/19/2017,8:42:37,1229000,Walk,90013,auto_detected,2224,0,9.144,165,0,1,1,19,92,12,9,0,0
4/19/2017,18:04:04,1538000,Walk,90013,auto_detected,2531,0,0,178,1,0,2,22,95,10,14,0,0
4/19/2017,19:16:36,1283000,Walk,90013,auto_detected,1725,0,0,162,2,1,2,16,114,0,13,3,0
4/20/2017,22:29:56,922000,Walk,90013,auto_detected,1459,0,42.672,133,0,1,2,13,104,4,11,1,0
4/21/2017,7:01:17,3329000,Run,90009,tracker,8429,8.217119,97.536,648,0,1,0,54,139,1,3,50,0
4/21/2017,15:03:13,1230000,Walk,90013,auto_detected,1865,0,27.432,155,0,2,6,12,97,8,9,3,0
4/21/2017,17:48:46,1024000,Walk,90013,auto_detected,1318,0,6.096,105,0,3,9,5,94,5,12,0,0
4/21/2017,20:36:02,972000,Walk,90013,auto_detected,1377,0,9.144,118,0,1,5,10,101,4,9,0,0
4/21/2017,23:02:48,1843000,Walk,90013,auto_detected,2729,0,42.672,233,0,1,7,23,99,1,27,1,0
4/23/2017,8:11:56,1178000,Walk,90013,auto_detected,1803,0,15.24,142,0,4,3,13,98,4,14,0,0
4/23/2017,17:15:31,1331000,Walk,90013,auto_detected,2179,0,21.336,189,1,0,1,20,114,1,14,4,0
