SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
12/3/2017 12:00:00 AM,1,499,545
12/4/2017 12:00:00 AM,1,469,519
12/5/2017 12:00:00 AM,1,451,502
12/6/2017 12:00:00 AM,1,328,365
12/7/2017 12:00:00 AM,1,483,513
12/8/2017 12:00:00 AM,1,517,560
12/9/2017 12:00:00 AM,1,477,527
12/10/2017 12:00:00 AM,1,504,549
12/11/2017 12:00:00 AM,1,442,459
12/12/2017 12:00:00 AM,1,457,525
12/13/2017 12:00:00 AM,1,407,463
12/14/2017 12:00:00 AM,1,476,498
12/15/2017 12:00:00 AM,1,432,483
12/16/2017 12:00:00 AM,1,520,573
12/17/2017 12:00:00 AM,1,452,497
12/18/2017 12:00:00 AM,1,437,484
12/19/2017 12:00:00 AM,1,279,295
12/20/2017 12:00:00 AM,1,476,490
12/21/2017 12:00:00 AM,1,481,538
12/22/2017 12:00:00 AM,1,413,453
12/23/2017 12:00:00 AM,1,405,453
12/24/2017 12:00:00 AM,1,522,587
12/25/2017 12:00:00 AM,1,417,431
12/26/2017 12:00:00 AM,1,513,573
12/27/2017 12:00:00 AM,1,476,506
12/28/2017 12:00:00 AM,1,494,545
12/29/2017 12:00:00 AM,1,455,508
12/30/2017 12:00:00 AM,1,545,609
12/31/2017 12:00:00 AM,1,523,536
1/1/2018 12:00:00 AM,2,408,426
1/2/2018 12:00:00 AM,1,445,491
1/3/2018 12:00:00 AM,1,426,462
1/4/2018 12:00:00 AM,1,433,456
1/5/2018 12:00:00 AM,1,400,419
1/6/2018 12:00:00 AM,1,519,539
1/7/2018 12:00:00 AM,2,600,656
1/8/2018 12:00:00 AM,1,418,474
1/9/2018 12:00:00 AM,1,404,459
1/10/2018 12:00:00 AM,1,226,250
1/11/2018 12:00:00 AM,1,406,421
1/12/2018 12:00:00 AM,1,420,455
1/13/2018 12:00:00 AM,1,415,439
1/14/2018 12:00:00 AM,1,528,549
1/15/2018 12:00:00 AM,2,564,636
1/16/2018 12:00:00 AM,1,426,463
1/17/2018 12:00:00 AM,1,425,491
1/18/2018 12:00:00 AM,1,418,484
1/19/2018 12:00:00 AM,1,477,533
1/21/2018 12:00:00 AM,1,504,570
1/22/2018 12:00:00 AM,1,307,325
1/23/2018 12:00:00 AM,1,442,484
1/24/2018 12:00:00 AM,1,492,506
1/25/2018 12:00:00 AM,1,433,496
1/26/2018 12:00:00 AM,1,306,343
